Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
0.7011719,0.01577916,-0.01998355,0.02501393,-0.009946167,0.03883487,0.02639711,-0.002353396,0.002389536,-0.001104542,-0.0864948,1.641866,-0.4430977,0.02080954,0.035693425431737
0.7135282,-0.01480591,-0.0183136,0.0223474,-0.01010919,0.03889965,0.02636528,-0.002493029,0.002632548,-0.0006779284,-0.08655751,1.64194,-0.4430847,-0.01077211,0.032465508262362
0.7273335,-0.02748033,-0.03302635,0.03410922,-0.01021589,0.03893658,0.02659919,-0.002292069,0.002591226,-0.0004258692,-0.08659708,1.641983,-0.443072,-0.02639745,0.054857512716066
0.7476854,0.03479211,-0.07894023,0.00545656,-0.01008513,0.03881945,0.02685058,-0.002033676,0.002171713,-0.0002126469,-0.08659875,1.642001,-0.4430702,-0.03869155,0.086439717654254
0.7572455,0.006967195,-0.07585715,0.002577729,-0.009933373,0.03883766,0.02686795,-0.00206457,0.001415449,-4.485391E-05,-0.08663166,1.642001,-0.4430606,-0.06631222,0.0762200323197
0.7688384,0.04811142,-0.05793925,-0.008581419,-0.009994168,0.0387131,0.02697175,-0.001615907,0.0007647604,-6.6496E-05,-0.08662689,1.641958,-0.4430474,-0.01840925,0.075797798014073
0.782928,0.02582036,-0.07715592,0.02130381,-0.009955858,0.03874683,0.02680005,-0.001476647,0.0002238223,0.0001009116,-0.08664739,1.641947,-0.4430134,-0.03003174,0.0841045725301
0.8027892,0.0009769648,-0.01073809,0.009319058,-0.009960365,0.03875639,0.02665839,-0.0008800367,-0.0002423333,0.0001473644,-0.0866369,1.641934,-0.4429817,-0.0004420681,0.014251522250888
0.8122506,0.02451846,-0.005909584,0.01284943,-0.009956959,0.03880164,0.02663995,-0.0005825898,-0.000268711,0.0002311929,-0.08662999,1.641936,-0.442971,0.03145831,0.028305229249648
0.8249407,0.0544005,-0.0002257805,-0.01197801,-0.009986114,0.03892155,0.02657801,-0.0001520035,-0.0003110832,0.0004276957,-0.0866071,1.641937,-0.4429504,0.04219671,0.055704021953092
0.8381438,0.01631489,0.01292299,0.03523639,-0.01011354,0.03893622,0.02643317,0.0004007964,-0.0001579357,0.0005796661,-0.08657062,1.641952,-0.4429302,0.06447427,0.040924105948327
0.8587899,0.05879873,0.01592587,-0.01571182,-0.01015717,0.03906816,0.02629169,0.001039694,0.000240799,0.0008382611,-0.08651793,1.641996,-0.4428993,0.05901279,0.062910927917171
0.8677039,0.07294317,0.002618421,0.004620645,-0.01027045,0.03921503,0.02616326,0.001399398,0.0003456566,0.001132244,-0.08647668,1.64202,-0.4428649,0.08018223,0.073136255996178
0.8805237,0.00518077,-0.01425512,0.02465041,-0.01025423,0.03950099,0.02596353,0.001520129,0.0005540127,0.001222577,-0.0864588,1.642047,-0.4428406,0.01557606,0.028942905395829
0.8939342,0.03373275,0.002562642,-0.0402177,-0.01013258,0.03952416,0.02579889,0.00211028,0.0002127049,0.001190474,-0.08638203,1.642061,-0.4428527,-0.003922306,0.052554055283117
0.9142356,0.02511237,-0.07202385,0.02801136,-0.01002922,0.03979496,0.02562617,0.002456719,-0.0003502124,0.001088577,-0.08633649,1.642036,-0.4428288,-0.01890012,0.081257008912277
0.9231291,0.007617463,-0.06194215,0.003333027,-0.009884234,0.03994307,0.02561815,0.002618721,-0.0008594735,0.001126092,-0.08628476,1.642007,-0.4428104,-0.05099166,0.062497716973934
