Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
0.3129339,-0.02532292,-0.06103905,0.02149075,-0.04560758,0.1062734,0.01105523,-0.001119792,0.00130177,0.002093652,0.6755824,1.611759,-0.2770607,-0.06487122,0.069490060002261
0.3288054,0.006908498,-0.03792882,0.0239639,-0.04583154,0.1061814,0.01085777,-0.0009176194,0.0001338344,0.002406108,0.6755993,1.611726,-0.2770392,-0.007056416,0.045393733328071
0.3391271,-0.01318054,0.00263565,0.01070347,-0.0457252,0.1061092,0.01098021,-0.001051367,-0.0001901261,0.002551207,0.6755793,1.61169,-0.2769998,0.0001585779,0.017182483210466
0.3551612,-0.01806705,0.01321134,0.04021244,-0.04557889,0.1061379,0.01104894,-0.001127098,-0.000431317,0.003150887,0.6755524,1.611672,-0.2769098,0.03535674,0.046021718762565
0.3686929,0.03038909,-0.02510949,0.03459477,-0.04523655,0.1059345,0.01074163,-0.001332078,-0.000188499,0.003903715,0.6755228,1.611655,-0.2767929,0.03987437,0.052447893360877
0.3806653,-0.02908371,-0.04132057,0.05383084,-0.04498028,0.1058198,0.01090607,-0.001034824,8.00346E-05,0.004275175,0.6754932,1.61167,-0.276702,-0.01657344,0.073830964361826
0.3980699,-0.004808005,-0.05795906,0.04822374,-0.04496409,0.1057673,0.01081222,-0.0009766136,-0.0002960865,0.00458873,0.6754937,1.611651,-0.2766436,-0.01454333,0.075550635654147
0.4108601,-0.03291395,-0.02644901,0.04976432,-0.04516009,0.1057053,0.01080046,-0.0006925646,-0.0007019358,0.004866051,0.6755042,1.611614,-0.2765767,-0.009598628,0.065263815994708
0.4240389,0.05138364,0.006276831,0.01937333,-0.04522713,0.1055579,0.01077164,-0.0005901741,-0.0007046785,0.005317161,0.6755004,1.611609,-0.2764708,0.0770338,0.055272080300367
0.4361744,0.01303654,0.02923361,0.02844224,-0.04523726,0.1053889,0.01086051,-0.0004414038,-0.0001733948,0.005822792,0.6755009,1.611638,-0.2763538,0.07071239,0.042819574526775
0.4502501,0.005573065,0.04037957,-0.01165554,-0.04531654,0.1051898,0.01119025,-0.0007206448,0.0001366576,0.006157665,0.6754725,1.611678,-0.276248,0.0342971,0.042395996717544
0.4694357,-0.009184341,0.02612049,0.006613869,-0.04551545,0.1049113,0.01086576,-0.0003352725,0.0005471607,0.006186959,0.6754651,1.611686,-0.2761388,0.02355001,0.02846708906551
0.4797406,0.03308788,0.01035246,-0.008551424,-0.04544013,0.1048859,0.01082164,-0.0002306813,0.0004800741,0.006351468,0.6754797,1.61169,-0.2760431,0.03488892,0.035708659856372
0.4920058,-0.01594472,-0.0301943,0.009225238,-0.04511267,0.104623,0.01080454,-0.0001295367,0.0003273773,0.006545324,0.6754689,1.611683,-0.2759346,-0.03691377,0.035369966325638
0.5060539,-0.02793762,-0.06919263,0.04132093,-0.04489316,0.1044743,0.01081927,9.033212E-05,-0.0001723082,0.00670533,0.6754723,1.611673,-0.2758344,-0.05580932,0.085296829600463
0.5250587,0.006559615,-0.03768484,-0.02849599,-0.04447763,0.1042823,0.01104552,0.0004643076,-0.0009313661,0.007069692,0.6755047,1.611626,-0.2757365,-0.05962121,0.047699023774518
0.5356717,0.0657369,-0.05000025,-0.1093196,-0.0453219,0.104168,0.01100985,0.00107543,-0.001288356,0.006550138,0.675571,1.611662,-0.2757111,-0.09358293,0.137011447750365
0.5477185,0.07222662,0.01925573,-0.08627239,-0.04553706,0.1041159,0.01124126,0.001693929,-0.002020539,0.005609844,0.6756363,1.61159,-0.2756855,0.005209958,0.114150746094292
0.5615754,0.07403121,-0.2149141,-0.03652914,-0.0459238,0.1036939,0.01092036,0.00220499,-0.003587165,0.004685948,0.675689,1.611457,-0.2756561,-0.177412,0.230223909940294
0.5806947,-0.05853444,0.05483096,-0.06405307,-0.04757213,0.1037568,0.01129437,0.001867689,-0.005527877,0.003255823,0.6757097,1.611333,-0.2757029,-0.06775655,0.102642633323287
0.5911636,0.08120324,0.13694,-0.01374026,-0.04758815,0.1039769,0.01095161,0.001912222,-0.005459418,0.003153889,0.6757607,1.611195,-0.2756664,0.204403,0.159797774786556
0.6033463,0.06053936,0.1198324,0.04888272,-0.04715145,0.1036818,0.01063793,0.0023453,-0.004160513,0.003550256,0.6757739,1.611147,-0.2755843,0.2292545,0.142878765901755
0.6171694,0.007727305,0.09411653,0.03954056,-0.04664657,0.1034406,0.01071678,0.002370656,-0.002592406,0.004392837,0.6757936,1.611204,-0.2754757,0.1413844,0.102377188963007
