Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
1.716614E-05,-0.005293353,-0.0001145201,0.03858235,0.03670515,-0.01551687,-0.02034741,0.0001821011,-0.001402279,-0.001470231,-0.08069515,1.59735,-0.2387478,0,0.038943936904289
0.05637884,-0.01134411,-0.002010021,-0.009945162,0.0365995,-0.01566619,-0.02053466,-0.000137624,-0.002869941,-0.0006723833,-0.08062172,1.597314,-0.2387835,0,0.015219567269661
0.06394196,-0.01562271,-0.03416417,-0.005035505,0.03623139,-0.01550257,-0.02059835,-6.131741E-05,-0.002883458,-0.0007811047,-0.080616,1.597179,-0.2388145,0,0.037902715336373
0.08149242,-0.01533629,0.004868135,0.01830741,0.03618784,-0.01539647,-0.02061567,-0.0003194265,-0.002710666,-0.0006444588,-0.08061433,1.597151,-0.2388008,0,0.024373381852363
0.0911231,0.008853275,0.00205676,-0.01756465,0.0362219,-0.01530193,-0.02060343,-0.0003607388,-0.002598463,-0.0005626808,-0.08061957,1.597127,-0.2388092,0,0.019776945352529
0.1017389,-0.004761118,-0.01901591,0.00103227,0.03625349,-0.01519355,-0.0205859,-0.0004866117,-0.002541474,-0.0006852769,-0.08063388,1.597105,-0.2388371,0,0.019630045033667
0.1157389,0.005672401,-0.01502958,0.01487671,0.0362715,-0.0150125,-0.02059231,-0.0003895752,-0.002568078,-0.0008059786,-0.08063579,1.597078,-0.2388685,0,0.021894771871365
0.1320248,0.03608889,-0.01597326,0.0219918,0.03627398,-0.01485232,-0.02079923,-4.492919E-05,-0.002510628,-0.0007480347,-0.08062363,1.597056,-0.2388887,0,0.045179554842674
0.1499872,0.00906472,0.02839492,0.008739513,0.03615718,-0.01478164,-0.02080798,0.000173385,-0.001918979,-0.0006532186,-0.08061481,1.597064,-0.2389036,0,0.031061542935796
0.1575766,0.05397205,0.006151657,-0.02156543,0.03612733,-0.01477112,-0.02064254,0.0004402755,-0.001735246,-0.000450812,-0.08060217,1.597058,-0.2389073,0,0.058445638409428
0.1706038,0.01553778,-0.03288928,-0.003554238,0.03591939,-0.01479203,-0.02043006,0.0009199906,-0.001641109,-0.0005290547,-0.08057714,1.597057,-0.238928,0,0.0365480555715
0.1922512,0.01290346,0.004714806,-0.05801864,0.03553204,-0.01508688,-0.02027313,0.001424958,-0.002078703,-0.0009855274,-0.08056068,1.597045,-0.2389886,0,0.059622909613917
0.2016225,0.01443689,-0.05708934,-0.02088873,0.03552937,-0.01518599,-0.02031887,0.001576465,-0.002441654,-0.001033759,-0.08053207,1.596991,-0.2390165,0,0.062481639914556
0.2126708,0.01327048,-0.03409139,-0.005744813,0.03533546,-0.01538286,-0.0203088,0.001846082,-0.002522527,-0.001460622,-0.08051586,1.596966,-0.2390711,0,0.037031491919066
