Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
1.382828E-05,0.0485777,-0.03925958,0.04506065,-0.001728107,-0.3432648,-0.006018412,0.00118759,0.002455457,-0.000883201,-0.001141917,1.592254,0.1848115,0.05437877,0.0770166881510636
0.06127787,0.05919811,0.0307274,-0.04153523,-0.0003706178,-0.3428603,-0.006061648,-0.0007403092,-0.003289238,0.005650284,-0.001274742,1.591989,0.1853904,0.04839027,0.0785733060366912
0.06885195,0.02548537,-0.02354594,-0.007946317,0.0007636588,-0.3423119,-0.006024743,-0.0005538354,-0.00326959,0.005559823,-0.001312245,1.591789,0.1857062,-0.006006881,0.0355957781609762
0.09348536,-0.008540276,-0.01074205,-0.03065713,0.0009563886,-0.3420264,-0.00602263,0.0002097206,-0.003276415,0.004879788,-0.00126503,1.591749,0.1857445,-0.04993945,0.0335885018023216
0.1033082,-0.0008208342,0.02556147,-0.0469953,0.001069664,-0.3419209,-0.006188865,0.0002098958,-0.003099458,0.004661191,-0.001242872,1.591722,0.1858001,-0.02225466,0.0535034642093618
0.1136856,0.001244124,0.06063555,-0.06930752,0.001032521,-0.341763,-0.006323122,0.0001525969,-0.002538491,0.004184798,-0.001233608,1.591717,0.1858402,-0.007427845,0.0920964193283049
0.1273041,-0.01669276,0.007035561,-0.0227626,0.0005983327,-0.3417625,-0.006401647,0.0001128713,-0.001752058,0.003784121,-0.001224831,1.591709,0.1858998,-0.0324198,0.0290909481562444
0.1435108,0.02190255,-0.02583279,-0.03100363,0.0004902689,-0.3418247,-0.006386775,4.845008E-05,-0.0008870483,0.003252783,-0.001215082,1.591774,0.1859218,-0.03493387,0.0459160077189973
0.1574702,-0.006711639,-0.01795732,-0.01610259,0.000295551,-0.3419018,-0.006358797,-5.213096E-05,-0.000397526,0.002701742,-0.001212578,1.591802,0.1859219,-0.04077156,0.0250360746955769
0.1696568,0.02001006,0.002608445,-0.03805524,0.0001972479,-0.3419198,-0.006262325,-0.0001493571,-0.000309358,0.002230682,-0.001212228,1.59181,0.1859201,-0.01543674,0.0430744403940969
0.1828127,0.0357069,0.007367797,-0.03807595,0.000313686,-0.3420209,-0.006239441,-0.0001496532,8.272385E-05,0.001544748,-0.001210898,1.591835,0.1859059,0.004998744,0.0527166520111761
0.202384,-0.02903358,0.00260089,-0.04999131,0.0003059097,-0.3421194,-0.006367724,-0.0006458361,-6.941899E-05,0.0009007553,-0.001243491,1.59183,0.1859014,-0.076424,0.0578691973327898
