Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
1.430511E-05,0.04154165,-0.1098691,0.02464735,0.06270991,0.02624146,0.005199126,-0.004498859,-0.0006221958,0.0002323934,0.05658436,1.766638,0.06702891,0,0.120018386989502
0.05731392,-0.00311451,-0.02962971,-0.04840319,0.06107743,0.02438056,0.004529418,-0.001681727,-0.0003460982,-0.001366375,0.05648208,1.765848,0.06682035,0,0.056837385555086
0.06485081,0.0338501,-0.1159366,-0.05497478,0.06004661,0.02314612,0.004028209,-0.001734616,-0.001169368,-0.001451946,0.05639303,1.765779,0.06675139,0,0.132700197437641
0.08937073,0.05380815,-0.02243203,-0.0128272,0.06027839,0.02305683,0.004133178,-0.0006353695,-0.002576997,-0.002112595,0.05643249,1.765684,0.06669995,0,0.059691283537259
0.0990572,0.06316769,-0.07437802,-0.01187528,0.05990281,0.02297729,0.004269027,-6.852299E-05,-0.00300498,-0.002258944,0.05644667,1.765605,0.06667367,0,0.098301930243774
0.1084366,0.03483921,-0.007816064,0.0139034,0.05993119,0.02303126,0.00430893,0.0002901183,-0.003194988,-0.002180221,0.05645084,1.765577,0.06664559,0,0.038316651134654
0.1222954,0.08300965,0.06782421,-0.01681654,0.06001623,0.02315199,0.004309675,0.001257286,-0.002699981,-0.00187705,0.0565176,1.765581,0.06663665,0,0.108505858777208
0.1432619,0.06311052,0.02583506,0.03060716,0.05979851,0.02334416,0.00431462,0.003110139,-0.001286124,-0.001807734,0.05667841,1.765636,0.06661054,0,0.074747479175485
0.1526594,0.01060366,-0.003600221,0.05839317,0.05964141,0.02361783,0.004339062,0.003595528,-0.0009733068,-0.001536932,0.05674386,1.765644,0.06659248,0,0.059457227781143
0.1633987,0.04624764,-0.003308119,-0.01351944,0.05941092,0.02398893,0.004355503,0.003942977,-0.001015001,-0.001300457,0.05679822,1.765634,0.06657669,0,0.04829661960433
0.1778316,0.008466752,-0.00300687,0.01982926,0.05920571,0.02425125,0.004327204,0.004285289,-0.001143285,-0.001031437,0.0568676,1.765622,0.06655392,0,0.021769856361095
0.1978016,-0.0009153914,-0.004385017,0.04595233,0.058675,0.02427793,0.004310804,0.004668563,-0.000693228,-0.0007454529,0.05696344,1.76563,0.06654093,0,0.046170153387179
0.207325,0.0005985042,0.0178185,0.01721139,0.05837671,0.02443216,0.004367948,0.004566171,-0.0003804968,-0.0004238979,0.05702615,1.765653,0.06653795,0,0.02478081584686
0.2193394,-0.003137802,-0.04501166,0.03230342,0.05802809,0.02434013,0.004371678,0.004695106,-6.995769E-05,-0.0004003611,0.05710232,1.765678,0.06651953,0,0.055492397202469
0.2330666,-0.0004616138,-0.04966407,0.02202635,0.05797567,0.02425045,0.004300562,0.004699754,-0.0002748205,-0.0001243213,0.05716574,1.765703,0.06651053,0,0.054331321607959
0.2543917,0.02921522,-0.03427765,-0.008808223,0.05809956,0.02408564,0.004120708,0.004926536,-0.0009195863,-0.0003478196,0.05724216,1.765691,0.06648007,0,0.045891952188807
0.2638693,-0.01188368,0.02027408,-0.01904161,0.0581212,0.02412155,0.003972987,0.005014374,-0.001184957,-0.0004359619,0.05730832,1.765689,0.06646726,0,0.030246371884601
0.2748222,0.01412599,-0.01019857,-0.01206544,0.05797459,0.02411952,0.003919348,0.005068693,-0.001270039,-0.0005059068,0.05738771,1.765654,0.06645915,0,0.021192665483815
0.2889099,-0.002078917,0.03575152,-0.01626569,0.05788539,0.02416096,0.00363293,0.005078905,-0.00132243,-0.0004402904,0.05744886,1.765666,0.06645069,0,0.039332754136621
0.3095398,0.03210463,0.004501889,-0.03085006,0.05764009,0.0241327,0.003601301,0.005437526,-0.0007426293,-0.000799055,0.05753994,1.765683,0.06641886,0,0.044751536507006
0.3189678,0.02709211,0.03985293,-0.03418137,0.05752964,0.02412858,0.003528569,0.005801994,-0.0003414558,-0.001001286,0.05763698,1.765714,0.06640038,0,0.059081337915023
0.3303823,0.03819072,-0.02250915,0.002593664,0.05732497,0.02419591,0.003623067,0.006068085,-0.0001146449,-0.001005326,0.05774391,1.76573,0.06639448,0,0.044406307028802
0.344346,0.0711895,-0.07350086,-0.01560207,0.05722242,0.02419526,0.003605771,0.006271335,2.531684E-05,-0.001026718,0.05785882,1.765757,0.06637922,0,0.103507223661443
0.3656845,0.05958989,-0.0920152,-0.001431366,0.05732919,0.02427724,0.003349785,0.00709317,-0.0004365462,-0.001413196,0.05798388,1.765749,0.06633666,0,0.109634853157488
