Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
1.66893E-05,-0.02064207,-0.02994423,0.0105046,-0.05940622,-0.003360135,0.01095603,0.0005203181,1.214039E-05,-0.001299544,-0.03248537,1.599606,-0.2667446,0,0.037856292921168
0.06034613,0.02430442,-0.01099893,-0.01647769,-0.06020053,-0.00371845,0.01100852,0.0001069573,-0.0007814966,0.001151996,-0.03240776,1.599553,-0.2666143,0,0.031355954823308
0.06771898,0.0114652,0.007960534,-0.01031434,-0.06028254,-0.003933921,0.01100517,2.611493E-05,-0.0007348868,0.001182872,-0.03240001,1.599521,-0.2665563,0,0.017355301202183
0.08669853,-0.01835533,-0.03331866,0.003796937,-0.06026743,-0.003920227,0.01098065,-0.0002713692,-0.0007029621,0.001300897,-0.03240538,1.599519,-0.2665339,0,0.03822915530671
0.09508276,-0.01315959,-0.01977502,0.01526494,-0.06031572,-0.003851444,0.01091271,-0.0003620988,-0.0006710704,0.001240248,-0.03240323,1.599521,-0.2665277,0,0.028235523754524
0.1063104,-0.0376501,-0.03409207,0.003408567,-0.06030209,-0.003736689,0.01087014,-0.0004258637,-0.0008600691,0.001214797,-0.03240335,1.599506,-0.2665172,0,0.050905973195512
0.119947,-0.03492797,-0.05387498,-0.005867626,-0.06035627,-0.003728598,0.01084185,-0.0008438454,-0.001171551,0.001222507,-0.03242862,1.599485,-0.2665107,0,0.064474070565732
0.136353,-0.04206046,-0.04669107,0.006847759,-0.06058126,-0.003574325,0.01082369,-0.001174077,-0.001327337,0.0009786575,-0.03245449,1.59947,-0.2665231,0,0.063214162216495
0.1497397,-0.005493054,-0.02470175,-0.01172517,-0.06064339,-0.003398878,0.01077657,-0.001289426,-0.001691462,0.0008205734,-0.03247488,1.599436,-0.2665303,0,0.027889595893302
0.1620088,-0.0173547,0.004512211,-0.006408522,-0.060741,-0.003201556,0.01078528,-0.001268749,-0.001591882,0.0005742158,-0.03248727,1.599426,-0.2665503,0,0.019042443299944
0.1755333,0.0302201,-0.001534704,-0.02706186,-0.0607059,-0.003076475,0.01073163,-0.001277721,-0.001294104,0.00060861,-0.03250277,1.599429,-0.2665541,0,0.040595002576889
0.1948376,0.03971684,-0.009119707,-0.03634556,-0.06061319,-0.003075194,0.0106987,-0.001238533,-0.001388509,0.0003249009,-0.03251803,1.599428,-0.2665567,0,0.05460399423098
0.2050982,0.02790638,-0.04093599,-0.03024576,-0.06073262,-0.003033202,0.01077008,-0.001029888,-0.001066861,-7.82054E-05,-0.0325228,1.59944,-0.2665706,0,0.058045912541795
0.2169023,0.009811907,-0.0400802,-0.03827005,-0.0607066,-0.003070336,0.01085808,-0.0007682933,-0.001245605,-0.0005472335,-0.03251731,1.599426,-0.2665894,0,0.056278705071686
0.2314129,0.04112212,-0.02617052,-0.03923834,-0.06080584,-0.00318731,0.01086124,-0.0004217262,-0.001487491,-0.0008327042,-0.03249681,1.599407,-0.2665968,0,0.062574532257685
0.247066,0.02657678,-0.03750847,-0.01891213,-0.06074869,-0.003236276,0.01079834,0.0003074017,-0.001851095,-0.001136329,-0.0324446,1.599376,-0.2666066,0,0.049707941415704
0.2606645,0.004690412,-0.03280971,0.007312691,-0.06063564,-0.003327114,0.01089669,0.0002443031,-0.002245005,-0.0009878312,-0.03244042,1.599338,-0.2666079,0,0.033940423844735
0.2775455,0.01893862,0.02782159,-0.003558826,-0.06072888,-0.003275198,0.01089531,0.0003440088,-0.002245751,-0.001003231,-0.03242528,1.599317,-0.266618,0,0.033843428073638
0.2864027,0.03090288,0.001346167,0.001575464,-0.06073764,-0.003336383,0.01079749,0.000551946,-0.00218305,-0.0008500793,-0.03239965,1.599303,-0.2666106,0,0.030972283077344
0.3026686,-0.03345397,0.02462225,0.006933156,-0.06085454,-0.003458053,0.01090968,0.0006153515,-0.001569256,-0.0007319363,-0.03237069,1.599337,-0.2665925,0,0.042112846094561
