Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
2.43187E-05,0.02121643,-0.05187573,-0.02066764,0.08474284,-0.05044972,0.006709862,0.0007612484,-0.0001855609,7.969209E-05,-0.03905368,1.696706,-0.02846104,0,0.059735915509378
0.05554199,-0.009018559,-0.01710639,-0.0503461,0.08509007,-0.05051522,0.006876575,-0.004178505,-0.00177794,-0.001559282,-0.03942776,1.696752,-0.02838421,0,0.05393229971431
0.06355,-0.0227426,-0.02646041,-0.03298152,0.08502582,-0.05092394,0.007356911,-0.004439139,-0.001709978,-0.001718045,-0.03967261,1.696661,-0.02848428,0,0.048012084365023
0.08758879,0.0318877,-0.03461955,-0.0353847,0.08481959,-0.05126583,0.00751139,-0.004511081,-0.001786236,-0.002543465,-0.03972387,1.69664,-0.02856052,0,0.058884768160342
0.09685421,0.01563051,-0.02439222,-0.01013486,0.08479374,-0.05148457,0.00763014,-0.004242534,-0.00170695,-0.002852152,-0.03977251,1.696627,-0.02861482,0,0.030692158815305
0.1092372,0.02497634,-0.01422424,-0.03934693,0.0847085,-0.05162726,0.007558881,-0.004073551,-0.001404107,-0.003218606,-0.03983736,1.696626,-0.02868444,0,0.048727075534107
0.1230092,0.08924322,0.04560639,-0.03901958,0.08460438,-0.05179494,0.007519285,-0.003775328,-0.001029825,-0.00343898,-0.03987241,1.696644,-0.02876192,0,0.107549164459295
0.139132,-0.006816877,0.02795206,0.02305117,0.08451223,-0.05160173,0.007385486,-0.003415089,0.0001574213,-0.003645104,-0.03993511,1.696709,-0.02881998,0,0.036866569962514
0.1527052,0.01948625,0.01109942,0.03784222,0.0841129,-0.05172167,0.007378454,-0.002939798,0.0006845567,-0.003450752,-0.03993964,1.696734,-0.02886569,0,0.043988004370481
0.1685233,0.04164395,0.03203281,0.02471372,0.08410347,-0.05177264,0.007906368,-0.002387514,0.001516355,-0.003021313,-0.03992963,1.69682,-0.02890044,0,0.058061070525987
0.178422,0.0187182,-0.01343432,0.06008193,0.08371527,-0.05181792,0.007867509,-0.002156557,0.00180349,-0.00258056,-0.03996158,1.696856,-0.02890635,0,0.064348194492757
0.1946564,0.05371279,-0.01802438,0.03813248,0.08366226,-0.0518188,0.007972938,-0.001907366,0.002204967,-0.001975108,-0.03997087,1.696935,-0.02890837,0,0.068293691841941
0.2083564,0.03176635,0.008354556,0.0453783,0.08365151,-0.05167441,0.007664434,-0.001605632,0.002314269,-0.001333183,-0.03998113,1.697023,-0.02890024,0,0.056018651643994
0.2201996,0.0120869,-0.08212814,0.0578892,0.0835098,-0.05163404,0.007734929,-0.001318768,0.001968944,-0.0008627187,-0.03996611,1.697035,-0.02889121,0,0.101204169760391
0.2345185,0.001342999,-0.08625392,0.02751364,0.08348516,-0.0514956,0.007779923,-0.001027083,0.0009872325,-0.0002834987,-0.03995991,1.697019,-0.02887118,0,0.090545802898082
0.2536573,-0.04799864,-0.08670753,0.02968,0.08365198,-0.05146356,0.007864664,-0.0008412285,-2.336828E-05,0.0001422772,-0.03996301,1.696993,-0.02886158,0,0.103455146952749
0.2635241,-0.002318459,-0.06273223,-0.004109105,0.08363247,-0.05147989,0.007996352,-0.0008802295,-0.0008324885,0.0003838034,-0.03997612,1.696953,-0.02885026,0,0.062909405099096
0.2756705,-0.006561793,-0.05802666,0.00149495,0.08376631,-0.05149252,0.007991018,-0.001091614,-0.001247137,0.0005109999,-0.03999782,1.696934,-0.02884179,0,0.058415621773147
0.2895904,-0.007229594,-0.05446806,0.001923792,0.08389278,-0.05155526,0.008034992,-0.0009290329,-0.001837655,0.000625814,-0.03999639,1.696894,-0.02883124,0,0.054979426648573
0.3055954,-0.03653182,-0.04701804,0.02498839,0.08406182,-0.05157806,0.007908125,-0.001108133,-0.001997691,0.0007636494,-0.04002357,1.696888,-0.02880654,0,0.064573130202164
0.3231182,-0.06212463,0.03019096,0.01172705,0.08405675,-0.05170266,0.007796621,-0.001048697,-0.001788034,0.0008937229,-0.04004025,1.6969,-0.02877817,0,0.070060594824539
0.3312926,0.03073685,0.02491562,-0.008158153,0.0839976,-0.05179577,0.007797905,-0.001231439,-0.001462838,0.0009751304,-0.04006767,1.696918,-0.02876076,0,0.040399230505894
0.3451419,-0.02376685,0.0283863,0.02291863,0.08394609,-0.05191249,0.007804605,-0.001244195,-0.0009443999,0.001059768,-0.04008031,1.696945,-0.02875423,0,0.043542035386991
0.3610148,0.04410351,-0.003132349,0.0009888632,0.08380844,-0.0520783,0.0077775,-0.00113735,-0.0005141688,0.001082387,-0.04008365,1.696972,-0.0287509,0,0.044225661277749
0.3747921,0.04195732,0.05251648,-0.03250465,0.08368125,-0.05215582,0.00772607,-0.001002471,-0.0001611211,0.001115684,-0.04009295,1.697006,-0.02874219,0,0.07466558264513
0.3867507,0.01310473,-0.007892638,-0.01317519,0.08360301,-0.05216396,0.007676839,-0.0008664099,-6.743678E-06,0.001039512,-0.04009962,1.697029,-0.02873969,0,0.020189437198022
0.4043207,0.006157031,-0.02751477,-0.01018872,0.08365693,-0.05215788,0.007629735,-0.000582681,6.463402E-05,0.000851832,-0.04008818,1.697046,-0.02874261,-0.03154646,0.029979690808383
0.416852,-0.006199614,-0.02155642,-0.008351237,0.0836795,-0.052077,0.007648666,-0.0002528016,-9.756517E-05,0.0006450193,-0.04006124,1.697049,-0.02874705,-0.03610727,0.023934445817473
0.4304724,0.002409165,0.01374692,-0.02860652,0.08371838,-0.05200025,0.007640108,-5.842857E-05,-2.806603E-05,0.0005532464,-0.04004526,1.697062,-0.02874452,-0.01245043,0.031829462605885
0.4430356,-0.03903503,0.006601388,0.02222385,0.08363602,-0.05200297,0.007654376,0.0002307209,9.9053E-06,0.0005459032,-0.04003024,1.697085,-0.02873403,-0.01020979,0.045400570297785
0.4563708,-0.05054344,-0.02625082,0.03925911,0.0834699,-0.05194791,0.007807759,0.0003493295,-0.0001500389,0.0006379567,-0.04002285,1.697095,-0.02871683,-0.03753515,0.069173858199509
0.4722419,-0.005727545,-0.01197,0.01854259,0.08335008,-0.05190841,0.007856764,0.0002325896,0.0002211503,0.0007133386,-0.04002666,1.697131,-0.02870804,0.0008450476,0.022801610731849
0.4897761,0.03711958,-0.0611221,0.0009297628,0.08321296,-0.05199096,0.007879377,0.0002891606,0.0002760506,0.0007607646,-0.04002023,1.697144,-0.02870244,-0.02307276,0.071516702793163
0.4980316,-0.01400361,-0.05875467,0.0251663,0.08310066,-0.05206165,0.007904161,0.000308809,7.126586E-05,0.0008298607,-0.04001522,1.697149,-0.02868783,-0.04759198,0.065433588046363
