Time_s_,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Velo_x,Velo_y,Velo_z,Pos_x,Pos_y,Pos_z,sum_xyz,magnitude
1.335144E-05,0.01138699,-0.01482678,-0.004509239,0.009013058,0.02285534,-0.00919928,0.002775122,-0.0006848897,-0.001106259,0.02207769,2.13325,-0.3465675,-0.007949024,0.0192309707105517
0.05718136,-0.04968637,-0.0335153,0.02562012,0.008519144,0.02355734,-0.009474467,-0.0001050101,-0.0006495292,0.001912733,0.02224496,2.133367,-0.3465655,-0.05758155,0.0651797602812163
0.06464863,-0.06482393,0.01593545,0.07172752,0.008852001,0.02342558,-0.009659281,-0.0002807149,-0.0005075216,0.002212302,0.02223411,2.13335,-0.3464355,0.02283905,0.0979842705759248
0.08919239,-0.01844999,-0.0307766,-0.02150466,0.00849555,0.02343643,-0.00948856,-0.001056425,7.961495E-05,0.002789612,0.02219134,2.133403,-0.3463632,-0.07073124,0.0418336136359629
0.09883595,0.01118919,-0.07901562,-0.0172508,0.00847862,0.02334008,-0.009514987,-0.001443045,-0.0003351856,0.002743538,0.02214437,2.133378,-0.34633,-0.08507723,0.0816471459700891
0.1114845,-0.006182668,-0.08784775,-0.04855493,0.008777526,0.02329215,-0.009312753,-0.001736099,-0.001083501,0.002552604,0.02209402,2.133324,-0.3463059,-0.1425854,0.100563583238672
0.1250687,0.04937334,-0.02712872,-0.03200955,0.009000702,0.02321762,-0.009280538,-0.001751822,-0.001646286,0.002132346,0.02206987,2.133282,-0.3463093,-0.009764927,0.0647943346031914
0.1444235,-0.02921356,0.02946564,0.002992915,0.008963374,0.02318317,-0.009212671,-0.001676779,-0.001196751,0.001666445,0.022059,2.13331,-0.3463309,0.003244989,0.0416006456429079
0.1543331,-0.00646678,0.01616804,0.01163254,0.008891006,0.0232104,-0.009198633,-0.001771894,-0.0005916042,0.0016352,0.0220236,2.133333,-0.3463131,0.02133379,0.0209413586106317
0.1664486,-0.04012595,0.003837936,0.02056472,0.008683559,0.02321285,-0.00908816,-0.001668662,-0.000194612,0.001612678,0.02199228,2.133348,-0.3462905,-0.01572329,0.0452518451994543
0.1803398,-0.00474699,0.005236705,-0.0006420402,0.008558536,0.02326158,-0.009169972,-0.001819134,0.0004347324,0.001565882,0.02194439,2.133382,-0.3462702,-0.0001523251,0.00709712655716139
0.2001715,-0.03882674,-0.009192833,0.0124851,0.00851445,0.02318394,-0.009184603,-0.001609239,0.0005785404,0.001285911,0.02194589,2.133415,-0.346277,-0.03553448,0.0418079133276878
0.2102051,0.02881788,0.04739963,-0.03590219,0.008442683,0.02315911,-0.009137258,-0.001396616,0.0009748071,0.001091265,0.02194452,2.133458,-0.346278,0.04031532,0.066076945252477
0.2222176,0.06814004,1.657382E-05,-0.03410707,0.008262147,0.02320155,-0.009108186,-0.001282893,0.001211157,0.0009615482,0.02193756,2.133487,-0.3462785,0.03404954,0.0761994651403435
0.2361317,-0.02715807,0.02073042,0.01836737,0.008049984,0.0233244,-0.009116648,-0.001249017,0.001329484,0.0007299073,0.02192627,2.133505,-0.3462898,0.01193972,0.0387900937363269
0.2561646,0.05289708,-0.02546053,-0.03196329,0.007678377,0.02346754,-0.008952233,-0.001009609,0.001797865,0.0005492573,0.02194097,2.133533,-0.3462949,-0.004526744,0.0668430346194968
0.2655754,0.001079514,-0.02220532,-0.02256499,0.007567528,0.02358123,-0.008926452,-0.0009221722,0.001970154,0.0002696094,0.02193337,2.133586,-0.3463062,-0.0436908,0.0316768161296185
0.2781935,-0.02528519,-0.02392136,0.001320868,0.007407104,0.02364907,-0.008972838,-0.0009444174,0.001771084,0.0002336059,0.02192177,2.133621,-0.3463079,-0.04788568,0.034832699665765
0.2920971,0.003202828,-0.0009052502,0.02215699,0.007376433,0.02359182,-0.008792272,-0.001070663,0.001547706,8.088842E-05,0.02190351,2.133625,-0.34633,0.02445457,0.0224055760000946
0.3114986,-0.01530533,0.002785883,-0.003426536,0.00728301,0.02347597,-0.008501786,-0.001097247,0.001173178,3.043265E-05,0.02186305,2.133616,-0.3463466,-0.01594598,0.0159296989247377
